0.27,-0.01,0.0,1.0
0.38,0.02,0.0,1.0
0.5,0.06,0.0,1.0
0.6,0.1,0.0,1.0
0.68,0.18,0.0,1.0
0.75,0.26,0.0,1.0
0.81,0.34,0.0,1.0
0.86,0.43,0.0,1.0
0.9,0.53,0.0,1.0
0.91,0.64,0.0,1.0
0.92,0.74,0.0,1.0
0.92,0.85,0.0,1.0
0.96,0.95,0.0,1.0
0.92,1.05,0.0,1.0
0.86,1.15,0.0,1.0
0.81,1.24,0.0,1.0
0.72,1.29,0.0,1.0
0.64,1.36,0.0,1.0
0.54,1.44,0.0,1.0
0.44,1.49,0.0,1.0
0.36,1.56,0.0,1.0
0.28,1.64,0.0,1.0
0.2,1.73,0.0,1.0
0.11,1.79,0.0,1.0
0.03,1.85,0.0,1.0
-0.04,1.93,0.0,1.0
-0.12,2.02,0.0,1.0
-0.2,2.1,0.0,1.0
-0.29,2.16,0.0,1.0
-0.38,2.23,0.0,1.0
-0.46,2.29,0.0,1.0
-0.57,2.35,0.0,1.0
-0.67,2.4,0.0,1.0
-0.77,2.44,0.0,1.0
-0.86,2.49,0.0,1.0
-0.95,2.55,0.0,1.0
-1.05,2.59,0.0,1.0
-1.14,2.65,0.0,1.0
-1.23,2.7,0.0,1.0
-1.33,2.75,0.0,1.0
-1.44,2.8,0.0,1.0
-1.55,2.83,0.0,1.0
-1.65,2.86,0.0,1.0
-1.75,2.86,0.0,1.0
-1.85,2.87,0.0,1.0
-1.97,2.84,0.0,1.0
-2.06,2.79,0.0,1.0
-2.15,2.72,0.0,1.0
-2.23,2.64,0.0,1.0
-2.31,2.57,0.0,1.0
-2.4,2.5,0.0,1.0
-2.49,2.42,0.0,1.0
-2.58,2.35,0.0,1.0
-2.67,2.28,0.0,1.0
-2.7,2.18,0.0,1.0
-2.77,2.09,0.0,1.0
-2.79,1.99,0.0,1.0
-2.8,1.89,0.0,1.0
-2.82,1.78,0.0,1.0
-2.87,1.67,0.0,1.0
-2.91,1.56,0.0,1.0
-2.97,1.48,0.0,1.0
-3.0,1.38,0.0,1.0
-3.0,1.27,0.0,1.0
-3.02,1.16,0.0,1.0
-3.04,1.05,0.0,1.0
-3.03,0.93,0.0,1.0
-2.98,0.83,0.0,1.0
-2.96,0.72,0.0,1.0
-2.91,0.61,0.0,1.0
-2.81,0.56,0.0,1.0
-2.72,0.5,0.0,1.0
-2.69,0.4,0.0,1.0
-2.66,0.27,0.0,1.0
-2.59,0.17,0.0,1.0
-2.51,0.09,0.0,1.0
-2.4,0.05,0.0,1.0
-2.3,-0.0,0.0,1.0
-2.21,-0.06,0.0,1.0
-2.11,-0.09,0.0,1.0
-2.0,-0.14,0.0,1.0
-1.9,-0.16,0.0,1.0
-1.79,-0.16,0.0,1.0
-1.69,-0.18,0.0,1.0
-1.58,-0.17,0.0,1.0
-1.47,-0.17,0.0,1.0
-1.35,-0.17,0.0,1.0
-1.24,-0.17,0.0,1.0
-1.13,-0.18,0.0,1.0
-1.02,-0.19,0.0,1.0
-0.89,-0.2,0.0,1.0
-0.78,-0.2,0.0,1.0
